# band 3 (part a: function words, adverbs, verbs, adjectives) — format: w|p|t|ka|ex|e
himself|pron|grammar|ის თვითონ (კაცი)|He built the house himself.|
herself|pron|grammar|ის თვითონ (ქალი)|She made the dress herself.|
themselves|pron|grammar|ისინი თვითონ|The children cleaned the room themselves.|
whose|pron|grammar|ვისი|Whose bag is this?|
none|pron|grammar|არცერთი|None of my friends can come.|
mine|pron|grammar|ჩემი|This book is mine.|
yours|pron|grammar|შენი, თქვენი|Is this umbrella yours?|
either|det|grammar|რომელიმე (ორიდან)|You can take either bus.|
neither|det|grammar|არცერთი (ორიდან)|Neither answer is correct.|
several|det|grammar|რამდენიმე|I have several friends in London.|
such|det|grammar|ასეთი|It was such a beautiful day.|
less|det|grammar|ნაკლები|I want to spend less money.|
along|prep|grammar|გასწვრივ|We walked along the river.|
among|prep|grammar|შორის|She was among the best students.|
except|prep|grammar|გარდა|Everyone came except Nino.|
towards|prep|grammar|-კენ|She walked towards the door.|
beside|prep|grammar|გვერდით|Come and sit beside me.|
unless|conj|grammar|თუ არ|We will go, unless it rains.|
whether|conj|grammar|თუ არა|I don't know whether he is coming.|
though|conj|grammar|თუმცაღა|Though it was late, we kept talking.|
fifteen|num|numbers|თხუთმეტი|The bus leaves in fifteen minutes.|
thirty|num|numbers|ოცდაათი|I will be there in thirty minutes.|
forty|num|numbers|ორმოცი|My mother is forty years old.|
fifty|num|numbers|ორმოცდაათი|This shirt costs fifty lari.|
million|num|numbers|მილიონი|About a million tourists visit the city every year.|
else|adv|grammar|კიდევ|Do you want anything else?|
instead|adv|grammar|სანაცვლოდ|There was no tea, so I had coffee instead.|
finally|adv|time|როგორც იქნა|The bus finally arrived.|
suddenly|adv|time|უცებ|Suddenly, the lights went out.|
exactly|adv|grammar|ზუსტად|The train leaves at exactly six.|
especially|adv|grammar|განსაკუთრებით|I love fruit, especially apples.|
anyway|adv|grammar|მაინც|It was raining, but we went anyway.|
nearly|adv|grammar|კინაღამ|I nearly missed the bus.|
twice|adv|time|ორჯერ|Brush your teeth twice a day.|
abroad|adv|travel|საზღვარგარეთ|She wants to study abroad.|
everywhere|adv|places|ყველგან|I looked everywhere for my keys.|
somewhere|adv|places|სადღაც|My glasses are somewhere in this room.|
anywhere|adv|places|სადმე|Have you seen my phone anywhere?|
perhaps|adv|grammar|იქნებ|Perhaps you are right.|
