# band 4 (part b: nouns) — format: w|p|t|ka|ex|e
pupil|n|school|მოსწავლე|Every pupil must wear a uniform.|
chef|n|work|შეფ-მზარეული|The chef made us a special dessert.|
pilot|n|work|პილოტი|The pilot said we will land soon.|
dentist|n|health|სტომატოლოგი|I have an appointment with the dentist.|
engineer|n|work|ინჟინერი|My brother is an engineer.|
scientist|n|work|მეცნიერი|She wants to become a scientist.|
secretary|n|work|მდივანი|Please leave a message with my secretary.|
employee|n|work|თანამშრომელი|Every employee has a parking space.|
crowd|n|people|ბრბო|There was a big crowd at the concert.|
fan|n|sport|გულშემატკივარი|He is a big fan of our football team.|
hero|n|people|გმირი|My father is my hero.|
owner|n|people|მფლობელი|The owner of the cafe is very friendly.|
partner|n|people|პარტნიორი|She lives with her partner.|
kid|n|people|ბავშვი|My kid starts school next year.|
lawyer|n|law|ადვოკატი|You should talk to a lawyer.|
judge|n|law|მოსამართლე|The judge will decide tomorrow.|
thief|n|law|ქურდი|The police caught the thief.|
musician|n|work|მუსიკოსი|My uncle is a musician.|
director|n|work|დირექტორი|The director of the school is very strict.|
professor|n|school|პროფესორი|The professor gave an interesting lecture.|
visitor|n|travel|ვიზიტორი|Every visitor gets a free map.|
classmate|n|school|თანაკლასელი|She was my classmate at school.|
knee|n|body|მუხლი|I hurt my knee playing football.|
lip|n|body|ტუჩი|I bit my lip by mistake.|👄
tongue|n|body|ენა|The doctor asked me to show my tongue.|👅
bone|n|body|ძვალი|The dog is eating a bone.|🦴
throat|n|body|ყელი|I have a sore throat.|
chest|n|body|მკერდი|The doctor listened to my chest.|
beard|n|body|წვერი|My grandfather has a long white beard.|🧔
breath|n|health|სუნთქვა|Take a deep breath.|
height|n|body|სიმაღლე|What is your height?|
disease|n|health|დაავადება|Heart disease is very common.|
fever|n|health|ცხელება|The child has a high fever.|
pill|n|health|აბი|Take one pill after each meal.|💊
ambulance|n|health|სასწრაფო დახმარება|Call an ambulance, quickly!|🚑
emergency|n|health|გადაუდებელი შემთხვევა|In an emergency, call 112.|
appointment|n|health|ვიზიტი|I have a doctor's appointment at three.|
diet|n|health|დიეტა|I am on a diet.|
stress|n|health|სტრესი|Too much work causes stress.|
oven|n|home|ღუმელი|Put the cake in the oven.|
garage|n|home|ავტოფარეხი|The car is in the garage.|
balcony|n|home|აივანი|We have breakfast on the balcony.|
carpet|n|home|ხალიჩა|We have a red carpet in the living room.|
cupboard|n|home|კარადა|The cups are in the cupboard.|
pillow|n|home|ბალიში|This pillow is too hard.|
step|n|home|საფეხური|Be careful, there is a step here.|
electricity|n|home|ელექტროენერგია|The electricity bill is very high this month.|🔌
gas|n|home|გაზი|We cook with gas.|
tool|n|home|ხელსაწყო|I need a tool to fix this.|🔧
